,Network,Station,Latitudes,Longitudes,Start Date,End Date,Channels
115,XD,MK12,46.113701,-121.363876,2014-05-01T00:00:00.000000Z,2016-12-31T23:59:59.000000Z,"['BHE', 'BHN', 'BHZ', 'HHE', 'HHN', 'HHZ', 'LHE', 'LHN', 'LHZ']"
116,XD,ML07,46.074268,-122.115227,2014-05-01T00:00:00.000000Z,2016-12-31T23:59:59.000000Z,"['BHE', 'BHN', 'BHZ', 'HHE', 'HHN', 'HHZ', 'LHE', 'LHN', 'LHZ']"
117,XD,ML09,46.078091,-121.880363,2014-05-01T00:00:00.000000Z,2016-12-31T23:59:59.000000Z,"['BHE', 'BHN', 'BHZ', 'HHE', 'HHN', 'HHZ', 'LHE', 'LHN', 'LHZ']"
118,XD,ML10,46.05278,-121.75087,2014-05-01T00:00:00.000000Z,2016-12-31T23:59:59.000000Z,"['BHE', 'BHN', 'BHZ', 'HHE', 'HHN', 'HHZ', 'LHE', 'LHN', 'LHZ']"
119,XD,ML11,46.0756,-121.616333,2014-05-01T00:00:00.000000Z,2016-12-31T23:59:59.000000Z,"['BHE', 'BHN', 'BHZ', 'HHE', 'HHN', 'HHZ', 'LHE', 'LHN', 'LHZ']"
120,XD,MM04,46.015251,-122.345451,2014-05-01T00:00:00.000000Z,2016-12-31T23:59:59.000000Z,"['BHE', 'BHN', 'BHZ', 'HHE', 'HHN', 'HHZ', 'LHE', 'LHN', 'LHZ']"
121,XD,MM06,46.04118,-122.256882,2014-05-01T00:00:00.000000Z,2016-12-31T23:59:59.000000Z,"['BHE', 'BHN', 'BHZ', 'HHE', 'HHN', 'HHZ', 'LHE', 'LHN', 'LHZ']"
122,XD,MM08,46.03273,-121.984123,2014-05-01T00:00:00.000000Z,2016-12-31T23:59:59.000000Z,"['BHE', 'BHN', 'BHZ', 'HHE', 'HHN', 'HHZ', 'LHE', 'LHN', 'LHZ']"
123,XD,MN07,45.992611,-122.081657,2014-05-01T00:00:00.000000Z,2016-12-31T23:59:59.000000Z,"['BHE', 'BHN', 'BHZ', 'HHE', 'HHN', 'HHZ', 'LHE', 'LHN', 'LHZ']"
124,XD,MN09,46.00074,-121.841904,2014-05-01T00:00:00.000000Z,2016-12-31T23:59:59.000000Z,"['BHE', 'BHN', 'BHZ', 'HHE', 'HHN', 'HHZ', 'LHE', 'LHN', 'LHZ']"
125,XD,MN10,45.981628,-121.680443,2014-05-01T00:00:00.000000Z,2016-12-31T23:59:59.000000Z,"['BHE', 'BHN', 'BHZ', 'HHE', 'HHN', 'HHZ', 'LHE', 'LHN', 'LHZ']"
126,XD,MO06,45.932121,-122.206078,2014-05-01T00:00:00.000000Z,2016-12-31T23:59:59.000000Z,"['BHE', 'BHN', 'BHZ', 'HHE', 'HHN', 'HHZ', 'LHE', 'LHN', 'LHZ']"
127,XD,MO07,45.885132,-122.08445,2014-05-01T00:00:00.000000Z,2016-12-31T23:59:59.000000Z,"['BHE', 'BHN', 'BHZ', 'HHE', 'HHN', 'HHZ', 'LHE', 'LHN', 'LHZ']"
128,XD,MP03,45.825569,-122.4944,2014-05-01T00:00:00.000000Z,2016-12-31T23:59:59.000000Z,"['BHE', 'BHN', 'BHZ', 'HHE', 'HHN', 'HHZ', 'LHE', 'LHN', 'LHZ']"
129,XD,MP04,45.812469,-122.381081,2014-05-01T00:00:00.000000Z,2016-12-31T23:59:59.000000Z,"['BHE', 'BHN', 'BHZ', 'HHE', 'HHN', 'HHZ', 'LHE', 'LHN', 'LHZ']"
